task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/
24019.972802,396,9481390559,13277312501,3927086741,8346450,3937805076,2022543,1730857,473379,154344,5685334,6.29
24018.723509,143,9476811183,13277688392,3928170034,8330221,3938339678,2068042,1438431,533199,98420,5719917,6.32
24032.804253,244,9485015889,13283930484,3928070277,8392108,3941410590,2341799,1619021,617455,152542,6398013,6.32
24019.184399,137,9474630820,13299356864,3926987220,8347946,3940166644,2068244,1394388,460676,55799,4808144,6.32
24018.701156,143,9477084288,13274829233,3922260654,8415035,3934602553,2114723,1366834,480275,86211,6404238,6.32
24019.462586,139,9473814445,13274986780,3929409511,8245070,3941686554,1565758,929246,459417,101762,5224194,6.31
24019.662021,146,9474197559,13277263094,3928639518,8272161,3939960804,1779043,1718118,506474,126771,5038437,6.32
24019.310487,139,9480457528,13290084074,3933713966,8202176,3943798827,1615963,1111295,460436,66133,4282829,6.33
24019.173212,143,9480631163,13296798129,3931585705,8246262,3944837828,1644887,918692,362897,68054,4316631,6.32
24020.827915,138,9479377027,13244206611,3902540401,8715744,3919662132,4373916,1861529,1182728,155999,10883588,6.34
24027.146801,794,9477497465,13117469041,3844272168,9962062,3868291693,11262832,4487560,3407633,360885,32628526,6.31
24019.074754,6836,9469492017,13068967873,3821627300,11638829,3864515189,10561645,6312687,2630175,592800,27644369,6.34
24019.243594,148,9476823333,13248612042,3919060983,8290618,3930372829,1954160,1125869,488983,71316,5275068,6.34
24018.881747,141,9474209565,13239975492,3919107004,8234836,3932802038,1792250,1208037,551848,114504,5836660,6.35
24018.941237,143,9474684749,13283584243,3928742558,8355438,3937873072,2006978,1619338,461317,104219,5077892,6.33
24018.794114,137,9478532522,13281811748,3926616228,8297750,3937766896,2026767,989560,554029,78057,5448590,6.33
24019.534674,139,9480375327,13274427283,3926986730,8299412,3940128935,2042566,1378639,647158,129882,6731752,6.33
24019.396698,138,9480932269,13288257586,3930124866,8289953,3939994064,1928754,1204764,472896,97238,5006647,6.33
24019.391185,143,9480536573,13289303120,3932557176,8211233,3943038959,1721675,927062,417601,66567,3412133,6.31
24018.606668,195,9477457727,13269471717,3918815502,8465673,3931229596,2727303,1708263,669843,128390,6896306,6.33
24018.770420,143,9477374063,13277237372,3928811252,8290221,3937829468,1857684,1755979,507834,111371,5546992,6.32
24019.566298,137,9479632233,13281846025,3932433705,8255421,3942199673,1664030,1022374,398672,52153,4049136,6.33
24018.102123,142,9471510206,13274692566,3925992198,8299246,3940351264,1667649,916794,437945,85410,6073909,6.32
24019.101850,136,9473683372,13293696298,3930594711,8257196,3941803536,1846798,1387485,487721,76509,4892429,6.33
24019.183949,142,9478804698,13283278403,3927322043,8318235,3937211339,2053298,1472192,478636,84968,4857390,6.34
24018.532386,143,9475918568,13273179525,3924889728,8282490,3936967094,1945050,1460854,596844,117865,6490109,6.31
24018.684756,138,9481235151,13291407112,3932749018,8209008,3943243439,1635799,815809,414100,66759,4026035,6.32
24018.994625,138,9480173560,13291055066,3928053838,8319600,3939804369,1864540,1204333,463727,95720,5376655,6.24
24018.638087,139,9478257153,13289171082,3933421328,8235244,3944855407,1711664,818908,388100,50505,3382559,6.30
