,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,24005.015987,140,42977077225,60384659751,17885253337,36544384,17900609135,1989059,1423749,420370,131259,5690015,32.49,5.38050560092159e-10,1800
1,24004.866939,144,42999378038,60834274048,18020853476,36643730,18026330828,1603232,1266030,447248,90310,4790034,32.46,5.335807899078096e-10,1800
2,24004.3208,149,42963072141,60362628460,17885644053,36554826,17907132537,2162088,2007160,737036,241786,7623472,32.13,5.322829840203417e-10,1800
3,24004.499135,141,42986217739,60400491448,17896790473,36414547,17912767126,1563558,991950,345051,84765,4117262,32.31,5.349294223510803e-10,1800
4,24004.752739,4393,42946830513,60400679590,17877744626,37493153,17899071069,6047028,1883435,673731,143680,8464167,32.35,5.355900003044982e-10,1800
5,24004.832624000002,140,42973641612,60394986294,17895938139,36478750,17907687963,1766378,1203486,428656,61175,4679716,32.34,5.354749124798271e-10,1800
6,24004.86325,139,43000420581,60473842265,17916472603,36456291,17927110423,1758643,1682286,468566,107194,5143459,32.39,5.356034739460588e-10,1800
7,24004.562999,144,42979867361,60309355026,17871146814,36522399,17882453019,2048403,1577351,478389,92582,5493535,32.4,5.372300862118657e-10,1800
8,24004.193580000003,141,42952693496,59771690342,17707819694,36036004,17716699009,1796243,1527902,443918,77390,3899348,33.16,5.54777685059031e-10,1800
9,24004.268613999997,139,42966406285,60397935612,17894259092,36536857,17907875692,1625495,1035286,330319,83157,5560987,32.36,5.357799016158863e-10,1800
10,24004.139659,138,42991034993,60415577364,17900955331,36400856,17910622918,1775576,1552626,454295,74838,4162553,32.38,5.359544907584441e-10,1800
11,24004.380235,141,42955369423,60661493126,17978119046,36676660,17989963575,1744751,1271789,362702,87691,4775995,32.87,5.418593955761312e-10,1800
12,24004.84752,565,42970066720,60420091553,17900548572,36682555,17903951508,2786851,3284692,582567,149130,5021651,32.34,5.352524163527893e-10,1800
13,24004.734542,137,43002902087,60419559321,17895486977,36490128,17906898163,1609254,963047,313826,104834,4884017,32.39,5.360846779420687e-10,1800
14,24004.888415999998,140,42966348851,60411077858,17901629087,36463100,17911878951,2063302,1694441,473496,114915,4002514,32.41,5.364910070994217e-10,1800
15,24004.542109,140,42998363016,60426291597,17900450577,36435487,17912288676,1757771,1459770,468847,105559,4503782,32.36,5.35528478494394e-10,1800
16,24004.386471,139,42969199576,60407770766,17893760904,36516603,17908617545,1918380,1056278,361986,80379,4737164,32.39,5.361892946764796e-10,1800
17,24004.082251,169,42972238625,60234270292,17782945208,38426586,17817328368,14819332,3636616,3436943,288560,32419723,32.44,5.38563841526416e-10,1800
18,24004.521088,143,42954094752,60410979870,17898125234,36423955,17913124169,1854420,1196632,391624,87228,3411845,32.39,5.361608116554459e-10,1800
19,24004.803764,2530,42977830689,60364196044,17863294425,36626012,17895797055,3460470,3057003,801817,240455,7170699,32.41,5.369076724947361e-10,1800
20,24004.898497,312,43000514391,60424258059,17901233162,36430490,17908865990,1707897,1348791,377750,90005,3982205,32.42,5.365394800271138e-10,1800
