,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,40061.902767,3215,20103738069,33293335593,6492304185,32475439,3953024218,386779562,15319326,43096265,1017961,460602856,20.56,6.175410073457099e-10,1600
1,44294.359013,3619,21599196486,36947944116,7097391979,39548875,4433448588,428813852,19750645,92583079,1429290,453748601,22.54,6.100474746100755e-10,1600
2,44683.275889,4135,19687929822,31603790069,6150249306,30645839,3740978282,378736254,20111780,54335540,1312786,419142372,19.44,6.151160970743379e-10,1600
3,43739.062569,3217,19880643134,30679019586,5942470834,28869422,3608168504,418453774,21444352,48839730,1443574,313641403,18.16,5.919354739838915e-10,1600
4,40041.81884,3218,20049866714,31419145713,6115086524,30482607,3716725750,388341498,16413345,57100141,1223878,397109180,18.91,6.018623221883397e-10,1600
5,40059.640806,3202,19557748256,33547056409,6464426000,35811738,3854719911,412326598,14191904,67424825,1088009,309995446,20.43,6.089953094817297e-10,1600
6,45650.790650999996,3223,20418469399,34318996615,6591457639,34515024,3994585580,419722679,18080784,64663360,1236368,365878410,20.79,6.057869416529852e-10,1600
7,40032.119369,3240,20341064926,31447203703,6067565414,30301843,3675560475,407232233,18045706,49263721,1128396,366461087,18.49,5.879696069204427e-10,1600
8,45572.958312,3226,20325702193,35180219399,6745329114,34471458,4146457869,419379438,15935626,52365315,1045607,428913976,22.22,6.3160492969045e-10,1600
9,45204.87794,3238,20942303337,34885391602,6762958038,34883932,4060807267,430593729,19595572,63087284,1339798,406566916,21.03,6.028311288555047e-10,1600
10,44440.586385,3218,20520603360,34893565704,6623918288,31741123,4020914349,415338089,15933850,52729030,1120018,392918138,21.47,6.152996853955455e-10,1600
11,44701.137404,3224,19565338818,34332607187,6638740207,33067746,3977635519,420305516,17538122,68085208,1352889,357146269,20.85,6.07294397609711e-10,1600
12,44780.427656,3642,20525385389,31269636624,6137459919,33556828,3779699784,393360713,25763412,62355249,1662087,409160726,18.77,6.002628116757101e-10,1600
13,43496.597942,3218,19928533993,33253659752,6329266972,34089818,3834224410,415567758,15585202,55275139,1214137,360094670,20.67,6.215857188096967e-10,1600
14,44884.748403,3234,20659106942,35141782257,6830001436,33874165,4161176527,412348136,16337668,63257871,1106064,466506858,21.41,6.092462767944923e-10,1600
15,40049.345001999995,6696,19387109434,30563775632,5957039603,32635192,3582126655,393361610,18792116,68050030,1537993,342455175,18.01,5.89259658781937e-10,1600
16,43408.65205,3230,20389799321,32192888975,6156156296,34813173,3766427678,380651472,17879882,50018016,1231092,365889129,19.86,6.169064235093241e-10,1600
17,43306.99102,3237,20139250576,32879986759,6352681958,33743045,3814611939,394542326,16454082,60238198,1170242,371881399,20.11,6.116182511690165e-10,1600
18,44676.370478,3231,20411144710,34874515175,6763914864,36634530,4122343479,426864258,16457859,73035835,1140461,367434502,21.62,6.199369336465621e-10,1600
19,40044.675737,3216,19758585681,33047579027,6366333716,34404796,3828039089,396510841,14529235,73712683,879858,378979962,20.58,6.227385062968171e-10,1600
20,44942.283363,3227,20351304615,34324420520,6537429245,33082336,4013156860,409100199,15854365,61464070,1204529,409142166,21.52,6.269588728369303e-10,1600
21,44478.438383,3223,20144420929,32318468236,6233610637,32891243,3786619177,400132192,18785641,51332171,1194949,378217269,19.84,6.13890480672594e-10,1600
22,45854.386232,3223,21128029174,36231615998,6939942500,36818878,4250449875,445101908,17433183,69972963,1246983,407570220,22.09,6.096885107531327e-10,1600
23,44832.511812,3628,21285717322,33178865137,6381495287,36149259,4050430937,403176741,23698677,67875621,1820236,477643900,20.41,6.151506362777739e-10,1600
24,40037.41908,3215,20100933550,30034501307,5815173066,32618075,3541696358,400098786,18144547,60339395,1312029,305836202,17.72,5.899881545850765e-10,1600
25,43472.232306,3253,19458818925,31716813680,6073432991,33652605,3607299764,396708023,17340859,64862214,1459399,345864234,19.46,6.135546967717975e-10,1600
26,43785.081087,3621,20573706946,34820165811,6772081528,36319784,4160719656,427363168,21227158,59084583,1481175,442429114,21.62,6.209045676965171e-10,1600
27,44649.093101,3224,19455505791,32896035459,6384516532,35494292,3907039627,401412968,19625164,75376253,1318497,377328520,20.46,6.219594463138373e-10,1600
28,44424.575507,3225,20874199232,35646504722,6816509763,38692122,4201896769,435993127,17666611,73683965,1194493,382267286,21.73,6.095969343829906e-10,1600
29,44275.379523,3216,20743655295,32540809980,6346941948,33028025,3868421796,393621841,21288441,42510795,1546707,439360104,19.86,6.103105611755273e-10,1600
30,44421.437558,3217,19649826401,32393546722,6271352085,29584796,3779586775,403897368,16161439,50742618,1267894,358615490,20.04,6.186417366391646e-10,1600
31,43522.762985,3220,20130124747,34146508032,6602669078,32783919,3967440580,396264907,14298286,55359342,1075962,391027160,21.14,6.190969799954038e-10,1600
