,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,43955.92875,3239,13332599662,19226390454,3843057861,19165928,2357706138,247862453,17345938,31028191,1361379,267102959,11.3,5.877338248713796e-10,1000
1,45138.840388,3644,13513754832,21274773717,4197767933,24200105,2673832657,274741577,17371594,47199130,1239887,276794468,12.89,6.058818848775819e-10,1000
2,40797.784066,3234,12654042836,19607069786,3849878709,18952736,2364829413,227281011,13841337,36244638,988249,296082720,11.6,5.916233341650432e-10,1000
3,45081.230316,3274,13137683140,20586661594,4004088077,20333587,2469577733,265858572,18381686,33037761,1460988,237096624,12.07,5.863019579394947e-10,1000
4,40062.451585,3247,12430711508,18665567385,3741539966,17496094,2180445832,239328847,15789926,27026689,1186131,239312018,10.61,5.684263318202904e-10,1000
5,44315.087638,3250,12690709584,17723918104,3347817479,19787474,2071548646,225992743,19909095,28833965,1475699,225819685,10.6,5.980618922859812e-10,1000
6,40048.050893,3272,12301608840,18474264712,3705849207,19066363,2158396908,237153468,15946578,29326504,1194395,205149131,10.81,5.851383082639462e-10,1000
7,44323.294969,3249,12771633590,19631575544,3894025057,19398215,2307395903,253547427,16086614,28076326,1221409,221612925,11.64,5.929223548008878e-10,1000
8,44224.466619,3262,12480718574,17459068039,3353139883,18998890,2080916638,227711987,18110836,27207640,1378539,234679172,10.43,5.973972938705265e-10,1000
9,45726.571224,3250,13169171050,20264974645,3966709373,21266111,2370796160,256517677,16617890,33442950,1201330,229553478,12.26,6.049847194368399e-10,1000
10,40042.992971,3248,12538825908,18752897245,3743890264,18345275,2214063936,233156919,17469315,28128494,1170149,258896780,10.8,5.759110103842517e-10,1000
11,40054.066648,3253,12468389257,17307963100,3330416174,18514735,2011500825,230065080,18063978,31048070,1254245,231145584,10.23,5.910574191136334e-10,1000
12,43990.969077999995,3662,13855201658,19492507019,3972683324,21626827,2453016230,254635714,23190131,26768733,1775837,302050012,11.28,5.786839008961241e-10,1000
13,41004.158279,3240,12139250551,19061029057,3788688046,17968718,2303130472,241403337,13374196,36309810,990117,244713125,11.29,5.923080000685401e-10,1000
14,44958.113759,3257,13197899331,20654310614,4027002417,19664827,2442924330,249182173,15759471,39069354,1106887,250315981,12.23,5.921282113240906e-10,1000
