,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,24005.691137,737,33396442728,46940977630,13909228977,28474432,13918503676,2213558,2191079,486998,105788,4697637,23.09,4.918943142173326e-10,1400
1,24005.386121,942,33390011348,46913394315,13896500370,28458786,13915197634,1609175,1442989,531967,175543,7360927,22.78,4.855756086853082e-10,1400
2,24005.866837999998,948,33383345133,46915035314,13899384629,28434191,13914199256,1752482,1293079,393475,83722,4551153,22.8,4.859849267383203e-10,1400
3,24005.55193,2413,33417036021,46924945201,13894135227,28591829,13916785022,2233561,2339082,682725,215391,10106911,22.94,4.888657813394982e-10,1400
4,24005.701041,940,33409398718,46935918445,13901599515,28420440,13913079207,1643109,1207652,412268,103430,5621498,22.93,4.885384319659072e-10,1400
5,24005.237958,739,33397528553,46946160342,13906037076,28406109,13915334246,1977729,1449196,360479,63856,3193954,23.06,4.912009806980861e-10,1400
6,24006.039632,941,33386078636,46916589793,13903523496,28449016,13915561446,1870607,1316947,401980,100526,4368311,22.81,4.861819689077928e-10,1400
7,24005.819793000002,948,33421332330,46940433406,13905550588,28417732,13913538888,1868013,1757712,453531,107358,4557928,23.2,4.942434126957707e-10,1400
8,24005.622323,762,33414329917,46930583582,13899229956,28402392,13910255004,1943204,1704005,501203,98292,5181719,23.23,4.949863868496567e-10,1400
9,24005.908556,938,33402096778,46951330596,13908542711,28502111,13923801638,1897327,1073279,322659,99653,3871205,23.05,4.90933903414523e-10,1400
10,24005.845866,740,33398271592,46947014013,13910770866,28388463,13923852949,1624303,959819,367031,99488,4184660,23.07,4.914050549330302e-10,1400
11,24005.707853,944,33388433779,46915738795,13894856417,28556308,13909923957,2082268,1643968,383135,147838,5513958,23.14,4.932246745833217e-10,1400
12,24005.428726,939,33383071797,46925571115,13902246593,28477879,13912948380,1934537,1394869,365912,81279,4797623,23.01,4.903509846179525e-10,1400
13,24005.700905,945,33420987185,46935097446,13900631439,28476562,13910938930,1870020,1443556,389404,109420,5423762,23.17,4.936604217485148e-10,1400
14,24005.786535,742,33419342765,46958891198,13901865914,28510921,13914548219,1900319,1725196,403665,122950,5840655,23.19,4.938361917921025e-10,1400
15,24005.721043999998,739,33408074022,46934738275,13907160552,28431681,13919199374,1759709,1355859,448348,96276,4903015,23.19,4.940903231232518e-10,1400
16,24005.282866,944,33402241193,46930498163,13901619719,28424173,13910855266,2099019,2037303,481450,110026,4004260,23.27,4.958396119976853e-10,1400
17,24005.605099,1334,33385865609,46713118220,13775063030,30463697,13810726469,14683429,3753174,4321040,306177,42403478,23.34,4.996455147797667e-10,1400
18,24005.746819,941,33424635449,46936341465,13902115607,28463385,13911064498,2064244,2186396,493310,144032,4799640,23.33,4.970562100030094e-10,1400
19,24005.552294999998,740,33418276251,46951788169,13905457814,28421642,13914119391,1969845,1388765,487959,100349,4605147,23.23,4.947628387737882e-10,1400
20,24005.677364,1128,33400904565,46929636165,13897564475,28491010,13911467154,1913142,1138706,373335,93093,5242762,23.28,4.960618044885284e-10,1400
21,24005.956618,948,33394776607,46923741173,13905677028,28524007,13916025201,2262046,2042329,491328,105822,5225959,23.3,4.965503478100093e-10,1400
22,24005.605183,947,33389136316,46934286320,13904151800,28501348,13914025993,2144335,1947557,452363,121517,5488538,23.32,4.968649111015182e-10,1400
23,24006.22881,940,33383886770,46932185602,13906030103,28436758,13916487504,1630040,1606434,426968,93194,5691193,23.2,4.943302704191841e-10,1400
24,24005.836844,741,33420408405,46960332853,13912838324,28421349,13922788632,1882943,1542573,413282,75013,4224213,23.28,4.957375424248679e-10,1400
25,24005.325816999997,938,33410832402,46919705340,13897685820,28452639,13904090181,2025759,1975704,416010,123420,4584667,24.31,5.181191958440376e-10,1400
26,24005.665768,941,33400605810,46927574925,13897940353,28438008,13916279565,1742519,1061460,450802,103248,5546505,23.28,4.960835934353367e-10,1400
27,24005.675626,1597,33389136921,46909911253,13894083584,28501914,13902257502,2661752,2783484,678437,138743,6095635,23.3,4.966967401480622e-10,1400
28,24005.959288,940,33383601084,46924539147,13900444519,28429142,13914515996,1796379,927728,361422,116111,4831329,23.21,4.94623930717578e-10,1400
29,24005.969334,741,33420449698,46943816797,13901582809,28390415,13913593056,1958322,1285376,474651,101496,5026786,23.32,4.967640381872463e-10,1400
30,24005.276585,940,33412089523,46940880822,13905998645,28359923,13915325317,1896309,1679190,479163,100473,4640293,23.21,4.944517357484707e-10,1400
31,24005.236197,1332,33404328781,46904626492,13884456135,28770432,13899052836,2497852,1575852,408773,122742,7007408,23.34,4.976054974871369e-10,1400
